0,SansAnimation,,,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,,,,
0,HeartTeleport,320,304,,,,,,,,
,,,,,,,,,,,
0,Sound,mus_birdnoise,,,,,,,,,
0,sanstext,what a beaultyful day...the bird are sing...,,,,,,,,,
0,SansHead,wink,,,,,,,,,
0,sanstext,...,,,,,,,,,
0,sanstext,Haven't you heard enough? ok I'll change one,,,,,,,,,
0.2,SansHead,closeeyes,,,,,,,,,
0,sanstext,what a bad day...Monster are diet...flower are wither...,,,,,,,,,
0.2,SansHead,noeyes,,,,,,,,,
0,sanstext,but this your's masterwork,,,,,,,,,
0.2,SansHead,closeeyes,,,,,,,,,
0,sanstext,hehehe...,,,,,,,,,
0,sanstext,you are very...,,,,,,,,,
0.2,SansHead,lookleft,,,,,,,,,
0,sanstext,good?,,,,,,,,,
0,sanstext,and i have some gife with you...,,,,,,,,,
0,BlackScreen,1,,,,,,,,,
0.4,BlackScreen,0,,,,,,,,,
0,SansHead,noeyes,,,,,,,,,
0,sanstext,LET'S SEE THE GIFT I HAVE PREPARED FOR YOU...,,,,,,,,,
0,Sound,mus_birdnoise,0,,,,,,,,
0.2,SansBody,HandDown,,,,,,,,,
0,SansHead,BlueEye,,,,,,,,,
0.2,sansslam,0,,,,,,,,,
0,BoneStab,0,20,0.3,0.5,,,,,,
0.2,sansslam,1,,,,,,,,,
0,BoneStab,1,20,0.3,0.5,,,,,,
0.2,sansslam,2,,,,,,,,,
0,BoneStab,2,20,0.3,0.5,,,,,,
0.2,sansslam,3,,,,,,,,,
0,BoneStab,3,35,0.3,0.5,,,,,,
0,GasterBlaster,1,0,0,241,226,0,0,0.2,,
0,GasterBlaster,1,0,0,391,226,90,0,0.2,,
0,GasterBlaster,1,0,0,241,226,270,0,0.2,,
1,sansslam,3,,,,,,,,,
0.1,BoneStab,3,15,0.3,0.4,,,,,,
0.05,BoneStab,2,10,0.1,0.4,,,,,,
0.3,sansslam,1,,,,,,,,,
0.1,BoneStab,1,15,0.3,0.4,,,,,,7
0.05,BoneStab,2,20,0.1,0.4,,,,,,
0.3,sansslam,3,,,,,,,,,
0.1,BoneStab,3,15,0.3,0.4,,,,,,
0.05,BoneStab,2,30,0.1,0.4,,,,,,
0.3,sansslam,1,,,,,,,,,
0.1,BoneStab,1,15,0.3,0.4,,,,,,
0.05,BoneStab,2,40,0.1,0.4,,,,,,
0.3,sansslam,3,,,,,,,,,
